name,salary_from,salary_to,salary_currency,area_name,published_at
Аналитик-проектировщик ПО,55000.0,60000.0,RUR,Санкт-Петербург,2007-12-03T17:40:09+0300
Системный аналитик,75000.0,95000.0,RUR,Москва,2007-12-03T17:41:49+0300
UNIX - администратор,60000.0,70000.0,RUR,Москва,2007-12-11T18:44:50+0300
Системный администратор,29000.0,31500.0,RUR,Москва,2007-12-03T18:44:25+0300
Web-программист,30000.0,40000.0,RUR,Москва,2007-12-03T19:10:20+0300
Программист,5000.0,10000.0,RUR,Саратов,2007-12-03T19:15:55+0300
PHP-программист,40000.0,50000.0,RUR,Москва,2007-12-03T22:39:07+0300
Менеджер по продажам,15000.0,30000.0,RUR,Екатеринбург,2007-12-04T08:49:42+0300
Технический специалист (АТС Siemens),30000.0,40000.0,RUR,Санкт-Петербург,2007-12-04T10:15:06+0300
Специалист (Информационные технологии),38000.0,46000.0,RUR,Москва,2007-12-10T22:06:44+0300
"Ведущий программист-разработчик, системный архитектор (OFA+Oracle Express)",60000.0,80000.0,RUR,Москва,2007-12-04T11:01:17+0300
Программист баз данных,36000.0,50000.0,RUR,Москва,2007-12-04T11:27:27+0300
Web-программист,26000.0,36000.0,RUR,Москва,2007-12-21T12:09:01+0300
Программист 1С,70000.0,70000.0,RUR,Москва,2007-12-04T11:32:19+0300
Программист 1С,33000.0,40000.0,RUR,Санкт-Петербург,2007-12-04T13:04:33+0300
Сервисный инженер,15000.0,28000.0,RUR,Москва,2007-12-04T14:22:20+0300
Менеджер по ведению проектов,20000.0,40000.0,RUR,Москва,2007-12-04T14:41:51+0300
Менеджер по ведению проектов,20000.0,50000.0,RUR,Москва,2007-12-04T14:43:16+0300
Веб-программист,30000.0,40000.0,RUR,Москва,2007-12-04T15:06:07+0300
Системный администратор,18000.0,25000.0,RUR,Москва,2007-12-04T15:35:00+0300
Сетевой инженер,55000.0,60000.0,RUR,Москва,2007-12-04T15:37:45+0300
Системный инженер,55000.0,60000.0,RUR,Москва,2007-12-04T15:40:25+0300
IT Директор,80000.0,100000.0,RUR,Москва,2007-12-04T15:43:46+0300
Программист 1С (8.0)/Разработчик,65000.0,75000.0,RUR,Москва,2007-12-04T16:28:52+0300
